AFGHANISTAN,Kabul (KBL),Passport services other than adding pages.,AA,https://evisaforms.state.gov/acs/default.asp?postcode=KBL&appcode=1,KBL,The U.S. Embassy in Kabul is located on Great Massoud Road between Radio Afghanistan and the Ministry of Public Health.  (This road is also known as Bebe Mahro or Airport Road.)  Anyone under age 16 must be accompanied by an adult.
AFGHANISTAN,Kabul (KBL),Report the birth abroad of a child of a U.S. citizen and/or apply for the child's first passport.,02B,https://evisaforms.state.gov/acs/default.asp?postcode=KBL&appcode=1,KBL,The U.S. Embassy in Kabul is located on Great Massoud Road between Radio Afghanistan and the Ministry of Public Health.  (This road is also known as Bebe Mahro or Airport Road.)  Anyone under age 16 must be accompanied by an adult.
AFGHANISTAN,Kabul (KBL),Request notarial and other services not listed above.,09,https://evisaforms.state.gov/acs/default.asp?postcode=KBL&appcode=1,KBL,The U.S. Embassy in Kabul is located on Great Massoud Road between Radio Afghanistan and the Ministry of Public Health.  (This road is also known as Bebe Mahro or Airport Road.)  Anyone under age 16 must be accompanied by an adult.
ALBANIA,U.S. Embassy Consular Section,Passport services other than adding pages.,AA,https://evisaforms.state.gov/acs/default.asp?postcode=TIA&appcode=1,TIA,Rruga Elbasanit 103Tirana Albania
ALBANIA,U.S. Embassy Consular Section,Report the birth abroad of a child of a U.S. citizen and/or apply for the child's first passport.,02B,https://evisaforms.state.gov/acs/default.asp?postcode=TIA&appcode=1,TIA,Rruga Elbasanit 103Tirana Albania
ALBANIA,U.S. Embassy Consular Section,Request notarial and other services not listed above.,09,https://evisaforms.state.gov/acs/default.asp?postcode=TIA&appcode=1,TIA,Rruga Elbasanit 103Tirana Albania
ALGERIA,Algiers (ALG),Passport services other than adding pages.,AA,https://evisaforms.state.gov/acs/default.asp?postcode=ALG&appcode=1,ALG,5 Chemin Bachir El Ibrahimi Algiers Algeria
ALGERIA,Algiers (ALG),Report the birth abroad of a child of a U.S. citizen and/or apply for the child's first passport.,02B,https://evisaforms.state.gov/acs/default.asp?postcode=ALG&appcode=1,ALG,5 Chemin Bachir El Ibrahimi Algiers Algeria
ALGERIA,Algiers (ALG),Request notarial and other services not listed above.,09,https://evisaforms.state.gov/acs/default.asp?postcode=ALG&appcode=1,ALG,5 Chemin Bachir El Ibrahimi Algiers Algeria
ANGOLA,U.S. Embassy Luanda,Passport services other than adding pages.,AA,https://evisaforms.state.gov/acs/default.asp?postcode=LUA&appcode=1,LUA,Rua Houari Boumedienne 32Miramar-C.P. 6848LuandaAngola
ANGOLA,U.S. Embassy Luanda,Report the birth abroad of a child of a U.S. citizen and/or apply for the child's first passport.,02B,https://evisaforms.state.gov/acs/default.asp?postcode=LUA&appcode=1,LUA,Rua Houari Boumedienne 32Miramar-C.P. 6848LuandaAngola
ANGOLA,U.S. Embassy Luanda,Request notarial and other services not listed above.,09,https://evisaforms.state.gov/acs/default.asp?postcode=LUA&appcode=1,LUA,Rua Houari Boumedienne 32Miramar-C.P. 6848LuandaAngola
ARGENTINA,U.S. Embassy Buenos Aires,Passport services other than adding pages.,AA,https://evisaforms.state.gov/acs/default.asp?postcode=BNS&appcode=1,BNS,American Citizen Services			4300 Av. Colombia1425 Buenos Aires (Palermo)
ARGENTINA,U.S. Embassy Buenos Aires,Report the birth abroad of a child of a U.S. citizen and/or apply for the child's first passport.,02B,https://evisaforms.state.gov/acs/default.asp?postcode=BNS&appcode=1,BNS,American Citizen Services			4300 Av. Colombia1425 Buenos Aires (Palermo)
ARGENTINA,U.S. Embassy Buenos Aires,Request notarial and other services not listed above.,09,https://evisaforms.state.gov/acs/default.asp?postcode=BNS&appcode=1,BNS,American Citizen Services			4300 Av. Colombia1425 Buenos Aires (Palermo)
ARMENIA,Yerevan Armenia,Passport services other than adding pages.,AA,https://evisaforms.state.gov/acs/default.asp?postcode=YRV&appcode=1,YRV,1 American AveYerevan 0082 Armenia
ARMENIA,Yerevan Armenia,Report the birth abroad of a child of a U.S. citizen and/or apply for the child's first passport.,02B,https://evisaforms.state.gov/acs/default.asp?postcode=YRV&appcode=1,YRV,1 American AveYerevan 0082 Armenia
ARMENIA,Yerevan Armenia,Request notarial and other services not listed above.,09,https://evisaforms.state.gov/acs/default.asp?postcode=YRV&appcode=1,YRV,1 American AveYerevan 0082 Armenia
AUSTRALIA,US Consulate General Melbourne,Apply for a U.S. passport for the first time.,02,https://evisaforms.state.gov/acs/default.asp?postcode=MLB&appcode=1,MLB,553 St Kilda RdMelbourne VIC3004
AUSTRALIA,US Consulate General Melbourne,Report the birth abroad of a child of a U.S. citizen and/or apply for the child's first passport.,02B,https://evisaforms.state.gov/acs/default.asp?postcode=MLB&appcode=1,MLB,553 St Kilda RdMelbourne VIC3004
AUSTRALIA,US Consulate General Melbourne,Renew a passport for an applicant under 18 years old.,03,https://evisaforms.state.gov/acs/default.asp?postcode=MLB&appcode=1,MLB,553 St Kilda RdMelbourne VIC3004
AUSTRALIA,US Consulate General Melbourne,Replace a lost/stolen/damaged passport.,04,https://evisaforms.state.gov/acs/default.asp?postcode=MLB&appcode=1,MLB,553 St Kilda RdMelbourne VIC3004
AUSTRALIA,US Consulate General Melbourne,Replace a passport issued more than 15 years ago.,05,https://evisaforms.state.gov/acs/default.asp?postcode=MLB&appcode=1,MLB,553 St Kilda RdMelbourne VIC3004
AUSTRALIA,US Consulate General Melbourne,Apply for a second passport.,06,https://evisaforms.state.gov/acs/default.asp?postcode=MLB&appcode=1,MLB,553 St Kilda RdMelbourne VIC3004
AUSTRALIA,US Consulate General Melbourne,Change the name listed in your passport but not as a result of marriage.,07,https://evisaforms.state.gov/acs/default.asp?postcode=MLB&appcode=1,MLB,553 St Kilda RdMelbourne VIC3004
AUSTRALIA,US Consulate General Melbourne,Renew a passport for an applicant who is over 18 years old and whose previous passport was issued before the applicant turned 16 years old.,07B,https://evisaforms.state.gov/acs/default.asp?postcode=MLB&appcode=1,MLB,553 St Kilda RdMelbourne VIC3004
AUSTRALIA,US Consulate General Melbourne,Need to travel in the next 15 business days and can present evidence of such plans (in conjunction with any of the above services).,08,https://evisaforms.state.gov/acs/default.asp?postcode=MLB&appcode=1,MLB,553 St Kilda RdMelbourne VIC3004
AUSTRALIA,Perth (PRT),Apply for a U.S. passport for the first time.,02,https://evisaforms.state.gov/acs/default.asp?postcode=PRT&appcode=1,PRT,16 St. Georges TerracePerth WA 6000Australia
AUSTRALIA,Perth (PRT),Report the birth abroad of a child of a U.S. citizen and/or apply for the child's first passport.,02B,https://evisaforms.state.gov/acs/default.asp?postcode=PRT&appcode=1,PRT,16 St. Georges TerracePerth WA 6000Australia
